"TF1"	"TF2"	"p-value"	"fdr"	"number of intersections"	"Genes"
"CCA1"	"CCA1_ZT02"	"0"	NA	"494"	"AT1G08650,AT1G13250,AT1G13260,AT1G14580,AT1G19440,AT1G22640,AT1G25425,AT1G25550,AT1G25550,AT1G36200,AT1G37120,AT1G40104,AT1G40104,AT1G40104,AT1G63100,AT1G63100,AT1G70370,AT1G72150,AT2G07080,AT2G07395,AT2G08986,AT2G08986,AT2G08986,AT2G08986,AT2G09800,AT2G09850,AT2G09850,AT2G16280,AT2G17450,AT2G22430,AT2G25930,AT2G25930,AT2G27775,AT2G28480,AT2G29090,AT2G36700,AT2G43020,AT2G43020,AT3G22400,AT3G23810,AT3G29575,AT3G33055,AT3G33055,AT3G33058,AT3G33058,AT3G33069,AT3G33103,AT3G33106,AT3G41761,AT3G41979,AT3G50700,AT3G60520,AT4G06700,AT4G06702,AT4G06710,AT4G06710,AT4G06710,AT4G06716,AT4G07530,AT4G19170,AT4G37780,AT5G17300,AT5G17310,AT5G24470,AT5G25280,AT5G27320,AT5G28830,AT5G31770,AT5G31787,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31821,AT5G31821,AT5G31821,AT5G31821,AT5G31821,AT5G31891,AT5G31891,AT5G32241,AT5G32433,AT5G33533,AT5G33533,AT5G34358,AT5G34376,AT5G34376,AT5G34376,AT5G34412,AT5G34412,AT5G34431,AT5G37260,AT5G50610,AT5G50715,AT5G57170,AT5G60840,AT5G64430"
"CCA1_ZT02"	"CCA1_ZT02"	"0"	NA	"529"	"AT1G08650,AT1G13250,AT1G13260,AT1G14580,AT1G19440,AT1G22640,AT1G25425,AT1G25550,AT1G25550,AT1G36200,AT1G37120,AT1G40104,AT1G40104,AT1G40104,AT1G63100,AT1G63100,AT1G70370,AT1G72150,AT2G07080,AT2G07395,AT2G08986,AT2G08986,AT2G08986,AT2G08986,AT2G09800,AT2G09850,AT2G09850,AT2G16280,AT2G17450,AT2G22430,AT2G25930,AT2G25930,AT2G27775,AT2G28480,AT2G29090,AT2G36700,AT2G43020,AT2G43020,AT3G22400,AT3G23810,AT3G29575,AT3G33055,AT3G33055,AT3G33058,AT3G33058,AT3G33069,AT3G33103,AT3G33106,AT3G41761,AT3G41979,AT3G41979,AT3G41979,AT3G50700,AT3G60520,AT4G06700,AT4G06702,AT4G06710,AT4G06710,AT4G06710,AT4G06716,AT4G07530,AT4G19170,AT4G37780,AT5G17300,AT5G17310,AT5G24470,AT5G25280,AT5G27320,AT5G28830,AT5G31770,AT5G31787,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G31821,AT5G31821,AT5G31821,AT5G31821,AT5G31821,AT5G31891,AT5G31891,AT5G32241,AT5G32433,AT5G33533,AT5G33533,AT5G34358,AT5G34376,AT5G34376,AT5G34376,AT5G34412,AT5G34412,AT5G34431,AT5G37260,AT5G50610,AT5G50715,AT5G57170,AT5G60840,AT5G64430"
"CCA1_ZT14"	"CCA1_ZT02"	"0"	NA	"68"	"AT1G08650,AT3G33055,AT3G33058,AT3G33058,AT3G41979,AT4G06702,AT4G06716,AT4G37780,AT5G31804,AT5G31821,AT5G31821"
"CRY2"	"CCA1_ZT02"	"0"	NA	"10"	""
"ELF3_ZT0_1"	"CCA1_ZT02"	"0"	NA	"20"	"AT2G08986,AT2G09800,AT3G33055,AT3G41979,AT4G06710,AT5G31804,AT5G31804,AT5G31821,AT5G34376"
"ELF3_ZT4_1"	"CCA1_ZT02"	"0.8"	NA	"14"	"AT2G08986,AT3G33055,AT3G41979,AT5G31804,AT5G34376"
"ELF4_1"	"CCA1_ZT02"	"0"	NA	"20"	"AT1G40104,AT3G41979,AT3G41979,AT4G06702,AT5G31821"
"FHY1"	"CCA1_ZT02"	"0"	NA	"18"	"AT1G40104,AT2G08986,AT5G31804,AT5G31804,AT5G31804,AT5G31821,AT5G31821"
"LHY_1"	"CCA1_ZT02"	"0"	NA	"23"	""
"LUX_ZT10_1"	"CCA1_ZT02"	"0"	NA	"15"	"AT1G40104,AT3G33055,AT3G41979,AT4G06710,AT5G31804"
"LUX_ZT12_1"	"CCA1_ZT02"	"0"	NA	"19"	"AT3G41979,AT5G31804,AT5G31804,AT5G31821,AT5G31821,AT5G31821,AT5G34376"
"PHYA"	"CCA1_ZT02"	"0"	NA	"65"	"AT1G14580,AT3G22400,AT3G23810,AT4G06710,AT4G06710,AT5G17310,AT5G31787"
"PHYB"	"CCA1_ZT02"	"0"	NA	"22"	"AT1G37120,AT5G31804,AT5G34376,AT5G60840"
"PIF3"	"CCA1_ZT02"	"0"	NA	"4"	""
"PIF4"	"CCA1_ZT02"	"0"	NA	"46"	"AT1G25550,AT1G72150,AT2G22430,AT5G60840"
"PIF5"	"CCA1_ZT02"	"0"	NA	"20"	"AT5G60840"
"PRR5_1"	"CCA1_ZT02"	"0"	NA	"98"	"AT1G13250,AT1G13260,AT1G25425,AT3G22400,AT3G23810,AT3G29575,AT3G50700,AT4G19170,AT5G17310,AT5G60840"
"PRR7"	"CCA1_ZT02"	"0"	NA	"20"	"AT3G33058,AT3G41979,AT3G41979,AT4G06700"
"PRR9_1"	"CCA1_ZT02"	"0"	NA	"7"	"AT2G09800"
"TOC1_1"	"CCA1_ZT02"	"0"	NA	"15"	"AT5G31804,AT5G31804,AT5G31804,AT5G31804,AT5G60840"
