names	x.pos	y.pos	peak.zt	trough.zt	CCA1	LHY	TOC1	PRR5	PRR7	PRR9	PHYA	PHYB	CRY2	FHY1	LUX	PIF3	PIF4	PIF5	ELF4	ELF3	indegree	outdegree	transitivity	closeness	betweeness	eccentricity
AT5G10840	-3813.60107421875	3186.94908946276	peak12	trough20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT5G11260	-3713.78466796875	1676.13549082994	peak20	trough8	0	1	0	1	1	0	1	0	0	1	0	0	1	1	0	0	7	0	0.714285714285714	0.00017307026652821	0	3
AT5G11250	-3899.22436523438	3849.10143321276	peak12	trough0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT5G11150	-4154.54345703125	3492.65856211901	peak8	trough4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT5G10930	-2571.54077148438	3048.93492930651	peak4	trough16	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	3
AT5G10870	-3585.15478515625	3909.31383555651	peak12	trough0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT5G10790	-3986.14282226562	3964.75573008776	peak8	trough0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0.00017307026652821	0	4
AT5G10920	-3130.3173828125	3988.23229258776	peak4	trough0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT5G10940	-3715.42407226562	1401.32518809557	peak20	trough8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT5G10740	-4246.60498046875	2813.52355235338	peak12	trough4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0.666666666666667	0.00017307026652821	0	4
AT5G10980	-4202.02880859375	2849.40245860338	peak16	trough0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	1	4	0	0.833333333333333	0.00017307026652821	0	3
AT5G11520	-3957.06323242188	3486.61144297838	peak12	trough4	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	3	0	1	0.00017307026652821	0	3
AT5G11500	-3699.39599609375	1658.14000743151	peak20	trough8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT5G11580	-3942.5751953125	4124.10778086901	peak8	trough0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT5G11610	-3166.8134765625	4221.40953868151	peak8	trough0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT5G11560	-3773.92431640625	3570.23668711901	peak12	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT5G11460	-2271.07348632812	2757.70153086901	peak4	trough16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT5G11300	-3694.95434570312	4274.65612071276	peak8	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT5G11740	-3343.77075195312	4055.70690196276	peak8	trough0	0	1	1	1	0	0	1	1	1	0	0	0	1	1	0	0	8	0	0.892857142857143	0.00017307026652821	0	3
AT5G11730	-4456.392578125	3064.37706797838	peak12	trough4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT5G11710	-2462.28002929688	2296.77721446276	peak4	trough12	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	3	0	0.666666666666667	0.00017307026652821	0	4
AT5G11700	-2526.64892578125	2082.77037852526	peak4	trough12	1	0	0	1	0	0	1	0	1	0	0	0	1	1	0	1	7	0	0.904761904761905	0.00017307026652821	0	3
AT5G11630	-3405.03833007812	3764.34899180651	peak12	trough20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT5G12010	-2844.07275390625	1196.46422618151	peak0	trough8	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	4	0	1	0.00017307026652821	0	3
AT5G11950	-4133.68017578125	1745.10948985338	peak16	trough8	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	4
AT5G11670	-3675.10717773438	3921.90807383776	peak8	trough0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	4	0	1	0.00017307026652821	0	3
AT5G11790	-3034.66674804688	3983.19323008776	peak4	trough0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	4	0	0.833333333333333	0.00017307026652821	0	3
AT5G11650	-2764.12890625	1772.31615489244	peak0	trough8	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	4	0	1	0.00017307026652821	0	3
AT5G11690	-3427.046875	1537.75219004869	peak0	trough8	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	4	0	0.833333333333333	0.00017307026652821	0	3
AT5G11780	-3180.01342773438	4433.20348399401	peak8	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT5G12050	-2556.82250976562	2270.44323008776	peak0	trough12	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	4	0	0.833333333333333	0.00017307026652821	0	3
AT5G12080	-2901.421875	3852.78234141588	peak4	trough16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT5G12850	-2770.65649414062	1886.44957774401	peak0	trough16	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0.7	0.00017307026652821	0	3
AT5G12840	-2592.60205078125	2059.90026133776	peak0	trough16	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	4	0	1	0.00017307026652821	0	3
AT5G12130	-3055.736328125	4074.14342540026	peak4	trough0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0.00017307026652821	0	4
AT5G12210	-3632.11938476562	2044.15563243151	peak0	trough4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT5G12230	-3560.2177734375	1747.05895274401	peak0	trough4	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	4	0	1	0.00017307026652821	0	3
AT5G12220	-3114.93627929688	4089.74010508776	peak8	trough20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
