names	x.pos	y.pos	cluster.classification
AT2G34260	-3160.048583984375	4037.3533863377565	peak4
AT2G34340	-3085.051513671875	1387.468986923694	peak0
AT2G39280	-3292.380126953125	1037.7852711033815	peak20
AT2G39570	-3442.263671875	1684.649895126819	peak0
AT2G39400	-3073.5927734375	1779.691154892444	peak0
AT2G39470	-3722.191650390625	1592.3275074315065	peak20
AT2G39580	-3959.524169921875	1948.5909351658815	peak20
AT2G39360	-3807.969970703125	2041.4796070408815	peak16
AT2G39450	-3081.240234375	1535.152092392444	peak0
AT2G34640	-3425.070556640625	4076.7318043065065	peak8
AT2G34510	-4501.19970703125	946.889641220569	peak20
AT2G18890	-2457.32666015625	3598.4617847752565	peak8
AT2G18960	-3943.426025390625	2099.9713062596315	peak16
AT2G18950	-3664.53125	3774.1810230565065	peak12
AT2G45850	-4108.42431640625	2926.1612476658815	peak16
AT2G45790	-3843.88623046875	3442.8575367283815	peak12
AT2G45960	-2995.34033203125	1558.1168140721315	peak0
AT2G45740	-3869.234619140625	3350.0838550877565	peak12
AT2G45980	-3145.431884765625	1753.078850204944	peak0
AT2G45800	-3285.261962890625	1629.4188160252565	peak0
AT2G45880	-3380.077392578125	1565.8546070408815	peak0
AT2G34650	-3764.370849609375	3348.5631031346315	peak12
AT2G34560	-3410.06640625	1495.118400986194	peak20
AT2G34570	-3250.79296875	3998.0999683690065	peak8
AT2G34620	-2511.109619140625	1879.8975757908815	peak4
AT2G45820	-2621.095458984375	1635.594719345569	peak20
AT2G26040	-2442.86474609375	2189.5687183690065	peak4
AT2G26080	-3231.8662109375	1362.8104175877565	peak0
AT2G44640	-3347.856201171875	4226.705437119006	peak8
AT2G44790	-2738.948486328125	1446.4022144627565	peak0
AT2G44760	-3558.473876953125	3976.3870777440065	peak8
AT2G29980	-3470.419189453125	1797.321770126819	peak0
AT2G26800	-3043.189453125	1616.4869312596315	peak0
AT2G26900	-3507.469970703125	3955.7049488377565	peak12
AT2G25950	-3849.630126953125	4021.1370777440065	peak8
AT2G26150	-3500.358642578125	3410.7698902440065	peak12
AT2G25930	-3509.7854273919365	2772.681423485686	peak20
AT2G26000	-3317.848388671875	1600.1031421971315	peak0
AT2G30040	-3052.6484375	1500.040031845569	peak0
AT2G22810	-2479.439697265625	3674.8621754002565	peak4
AT2G22910	-3883.546142578125	3380.3074879002565	peak12
AT2G44940	-2869.5869140625	3836.7198414158815	peak4
AT2G44970	-3581.546875	1329.7625660252565	peak0
AT2G44920	-3139.989501953125	1694.618889267444	peak0
AT2G44830	-4015.847900390625	1597.5599293065065	peak20
AT2G29970	-2685.80712890625	3857.9073414158815	peak4
AT2G30000	-4061.26611328125	3313.6065601658815	peak12
AT2G30010	-3479.5869140625	1654.1177906346315	peak0
AT2G29960	-4030.484130859375	3393.0897144627565	peak16
AT2G28930	-3414.242431640625	2097.0970386815065	peak20
AT2G22870	-3123.168701171875	4016.0516285252565	peak8
AT2G22840	-3503.4365234375	4211.699577744006	peak8
AT2G02880	-3420.85302734375	4003.3245777440065	peak8
AT2G28950	-4345.02099609375	1551.5489429783815	peak16
AT2G28940	-4503.29052734375	3743.2823414158815	peak12
