peak	through	p-value	fdr	enrichment	Intersection Genes
ZT0	ZT16	0.027050671553111	0.265096581220488	2.10092113768584	AT1G73670,AT1G76600,AT2G46830,AT3G12320,AT3G26520,AT3G54500,AT4G25470,AT5G06980,AT5G57660
ZT0	ZT20	1	1	0	
ZT0	ZT4	0.908012537959031	1	0.648533373241544	AT1G11260,AT1G23710,AT1G70090,AT2G23320,AT4G32300,AT5G25280
ZT0	ZT8	0.000241284362105393	0.00394097791438809	1.70641483516484	AT1G01550,AT1G01720,AT1G09070,AT1G15750,AT1G21050,AT1G30110,AT1G37130,AT1G68440,AT1G68670,AT1G76990,AT2G18090,AT2G24100,AT2G30040,AT2G36950,AT2G45880,AT2G46735,AT2G46800,AT2G47440,AT3G11700,AT3G16830,AT3G23030,AT3G24550,AT3G26810,AT3G55980,AT3G57530,AT3G62980,AT3G63010,AT4G08950,AT4G19200,AT4G27657,AT4G27940,AT4G30210,AT4G34150,AT5G05140,AT5G05440,AT5G11090,AT5G13100,AT5G13760,AT5G18650,AT5G22940,AT5G24870,AT5G49480,AT5G51460
ZT12	Any	0.999967038274951	1	0.506385216346154	AT1G07890,AT1G17420,AT1G21600,AT1G32640,AT2G28890,AT2G33150,AT2G34650,AT2G40080,AT2G41900,AT3G11820,AT3G14840,AT3G29575,AT4G35750,AT4G35850,AT5G01850,AT5G03720,AT5G42050,AT5G42650,AT5G61380,AT5G64310,AT5G65630
ZT12	ZT0	0.999536598559271	1	0.454713255494506	AT1G07890,AT1G17420,AT1G32640,AT2G34650,AT2G40080,AT3G14840,AT5G01850,AT5G03720,AT5G42050,AT5G42650,AT5G65630
ZT12	ZT12	1	1	0	
ZT12	ZT16	0.537576438509765	1	1.3228021978022	AT3G29575
ZT12	ZT20	0.779877550273415	1	0.737491490810075	AT2G28890,AT2G41900,AT4G35850
ZT12	ZT4	0.957720417195513	1	0.568850091887635	AT1G21600,AT2G33150,AT3G11820,AT4G35750,AT5G61380,AT5G64310
ZT12	ZT8	1	1	0	
