peak	through	p-value	fdr	enrichment	Intersection Genes
ZT16	ZT4	0.945761943861718	1	0.721062367864694	AT1G18210,AT1G20840,AT1G27730,AT1G30640,AT1G32920,AT1G75800,AT2G35880,AT2G40140,AT2G41430,AT3G27380,AT3G49530,AT4G33300,AT4G33430,AT4G36920,AT5G07580,AT5G13710,AT5G14710
ZT16	ZT8	0.220675751605111	0.901092652387536	1.28743315508021	AT1G05710,AT2G01420,AT2G41100,AT2G41110,AT3G10985,AT3G12560,AT3G18290,AT4G30440,AT4G31390,AT5G47200,AT5G47910,AT5G62670
ZT20	Any	0.886745425153156	1	0.812486817127188	AT1G04400,AT1G33060,AT1G56220,AT1G64610,AT1G69890,AT1G76160,AT1G76890,AT2G25930,AT2G47010,AT3G02990,AT3G07650,AT3G14100,AT3G15630,AT3G47610,AT3G48360,AT3G49590,AT3G60130,AT4G23060,AT4G24240,AT4G38430,AT5G04770,AT5G11260,AT5G37260,AT5G55530
ZT20	ZT0	1	1	0	
ZT20	ZT12	0.970376160763713	1	0.442148760330579	AT1G76890,AT3G47610,AT3G49590
ZT20	ZT16	1	1	0	
ZT20	ZT20	1	1	0	
ZT20	ZT4	0.158533412176243	0.776813719663591	1.32644628099174	AT1G04400,AT1G56220,AT1G64610,AT1G69890,AT2G25930,AT3G02990,AT3G07650,AT3G14100,AT3G15630,AT3G48360,AT3G60130,AT4G24240,AT5G04770,AT5G37260,AT5G55530
ZT20	ZT8	0.970770878527215	1	0.54040404040404	AT1G33060,AT1G76160,AT2G47010,AT4G23060,AT4G38430,AT5G11260
ZT4	Any	0.560947225754692	1	0.988920116744136	AT1G03600,AT1G06040,AT1G07180,AT1G15820,AT1G18330,AT1G18740,AT1G20650,AT1G30690,AT1G54130,AT1G59740,AT1G60190,AT1G62380,AT1G70210,AT1G73480,AT1G77280,AT2G32150,AT2G42190,AT2G43010,AT2G46680,AT2G46710,AT3G05630,AT3G07360,AT3G11670,AT3G13310,AT3G13640,AT3G15350,AT3G24840,AT3G45780,AT3G47470,AT3G54810,AT3G59060,AT4G02280,AT4G19710,AT4G23050,AT4G32020,AT4G34050,AT4G36380,AT4G39350,AT5G01520,AT5G01600,AT5G04200,AT5G04590,AT5G08130,AT5G09810,AT5G11700,AT5G24380,AT5G28300,AT5G40390,AT5G45830,AT5G53120,AT5G54470,AT5G59430,AT5G62170,AT5G63130,AT5G64170,AT5G65890,AT5G67030
ZT4	ZT0	0.751585150175978	1	0.84830866807611	AT1G54130,AT3G05630,AT3G13310,AT3G15350,AT4G23050,AT4G34050,AT5G08130,AT5G09810,AT5G28300,AT5G53120
ZT4	ZT12	0.677524870278225	1	0.906779661016949	AT1G07180,AT1G18740,AT1G20650,AT1G62380,AT2G42190,AT2G46710,AT3G07360,AT3G45780,AT4G39350,AT5G11700,AT5G45830
ZT4	ZT16	0.217294765496255	0.901092652387536	1.18049426301854	AT1G03600,AT1G06040,AT1G15820,AT1G18330,AT1G59740,AT1G60190,AT1G73480,AT1G77280,AT2G32150,AT2G46680,AT3G11670,AT3G24840,AT3G47470,AT3G59060,AT4G02280,AT4G19710,AT4G32020,AT5G01520,AT5G04200,AT5G04590,AT5G40390,AT5G54470,AT5G62170,AT5G64170,AT5G67030
ZT4	ZT20	0.686691085705035	1	0.893320964749536	AT1G30690,AT1G70210,AT2G43010,AT3G13640,AT3G54810,AT4G36380,AT5G01600,AT5G63130,AT5G65890
ZT4	ZT4	1	1	0	
ZT4	ZT8	0.717710362599435	1	0.810606060606061	AT5G24380,AT5G59430
ZT8	Any	0.994747679962466	1	0.739353201090533	AT1G04690,AT1G09350,AT1G09530,AT1G12990,AT1G20440,AT1G20450,AT1G20696,AT1G21380,AT1G22770,AT1G56600,AT1G59870,AT1G76180,AT1G78070,AT2G03340,AT2G16365,AT2G17840,AT2G25250,AT2G36410,AT2G42790,AT2G44490,AT2G45590,AT2G46060,AT3G05220,AT3G06500,AT3G18080,AT3G19590,AT3G47160,AT3G54890,AT3G57870,AT4G01026,AT4G25480,AT4G31550,AT4G33980,AT4G36010,AT5G01950,AT5G02810,AT5G05410,AT5G08330,AT5G11060,AT5G11740,AT5G24470,AT5G26340,AT5G35735,AT5G47060,AT5G48250,AT5G58070,AT5G63810,AT5G66880,AT5G67560
ZT8	ZT0	0.998852116113397	1	0.615553977272727	AT1G04690,AT1G20440,AT1G20450,AT1G20696,AT1G21380,AT1G76180,AT2G03340,AT2G17840,AT2G25250,AT2G44490,AT2G45590,AT2G46060,AT3G06500,AT3G18080,AT3G19590,AT3G47160,AT4G31550,AT4G36010,AT5G01950,AT5G05410,AT5G11060,AT5G11740,AT5G24470,AT5G26340,AT5G35735,AT5G47060,AT5G66880
ZT8	ZT12	1	1	0	
ZT8	ZT16	0.154986386951191	0.776813719663591	1.57132867132867	AT1G22770,AT1G78070,AT3G54890,AT4G01026,AT4G25480,AT5G08330,AT5G58070
ZT8	ZT20	0.959792084231031	1	0.586990595611285	AT1G09350,AT1G09530,AT1G12990,AT1G56600,AT3G57870,AT5G02810,AT5G67560
ZT8	ZT4	0.124818344221568	0.764512358357104	1.59900373599004	AT1G59870,AT2G16365,AT2G36410,AT2G42790,AT3G05220,AT4G33980,AT5G48250,AT5G63810
ZT8	ZT8	1	1	0	
