genes troughs peaks
AT5G04140 ZT8 ZT20
AT5G04220 ZT12 ZT8
AT5G04310 ZT4 ZT20
AT5G04340 ZT4 ZT12
AT5G04360 ZT4 ZT12
AT5G33390 ZT20 ZT4
AT1G73390 ZT16 ZT4
AT1G73470 ZT20 ZT8
AT1G73380 ZT4 ZT0
AT1G73480 ZT16 ZT4
AT1G44110 ZT20 ZT8
AT1G44100 ZT8 ZT16
AT1G51080 ZT0 ZT8
AT1G51070 ZT8 ZT20
AT1G51140 ZT0 ZT12
AT1G51090 ZT0 ZT8
AT1G51060 ZT0 ZT12
AT1G35140 ZT12 ZT0
AT1G66900 ZT12 ZT4
AT1G66890 ZT16 ZT8
AT1G30240 ZT0 ZT8
unknown_90 ZT4 ZT20
AT1G30210 ZT0 ZT8
AT1G30270 ZT4 ZT16
AT1G30260 ZT4 ZT20
AT1G73540 ZT12 ZT0
AT1G73530 ZT0 ZT12
AT1G45688 ZT8 ZT0
AT1G45976 ZT8 ZT0
unknown_92 ZT16 ZT4
AT1G32090 ZT4 ZT8
AT1G32210 ZT4 ZT8
AT1G32100 ZT12 ZT0
AT1G32220 ZT20 ZT4
AT1G32170 ZT8 ZT0
AT1G32160 ZT12 ZT20
AT1G49910 ZT20 ZT8
AT1G26090 ZT4 ZT16
AT1G26270 ZT4 ZT12
AT1G57906 ZT16 ZT8
AT1G57850 ZT0 ZT12
AT1G57820 ZT0 ZT8
AT1G57790 ZT4 ZT0
AT1G48840 ZT12 ZT4
unknown_99 ZT0 ZT4
unknown_100 ZT8 ZT0
AT1G26150 ZT0 ZT4
AT1G26130 ZT0 ZT8
AT5G13520 ZT0 ZT12
AT5G13550 ZT8 ZT16
AT5G28290 ZT0 ZT8
AT5G28300 ZT0 ZT4
AT5G01010 ZT4 ZT16
AT1G58070 ZT12 ZT0
unknown_106 ZT12 ZT0
AT1G58030 ZT4 ZT0
AT1G26230 ZT0 ZT12
AT1G26220 ZT8 ZT20
AT1G26190 ZT0 ZT8
AT5G09420 ZT20 ZT8
AT5G09300 ZT0 ZT12
AT5G09440 ZT0 ZT16
AT5G09450 ZT0 ZT8
AT5G09220 ZT4 ZT0
AT5G11040 ZT0 ZT8
AT5G11060 ZT0 ZT8
AT5G11090 ZT8 ZT0
AT5G11070 ZT4 ZT20
AT5G19690 ZT0 ZT12
unknown_109 ZT4 ZT16
AT5G28740 ZT16 ZT4
AT5G28750 ZT16 ZT0
AT5G28770 ZT12 ZT0
AT5G09320 ZT4 ZT0
AT5G19850 ZT8 ZT0
AT5G19750 ZT0 ZT12
AT5G19760 ZT8 ZT0
AT5G19500 ZT8 ZT20
AT5G19580 ZT12 ZT0
AT5G19530 ZT12 ZT4
AT5G19540 ZT0 ZT8
unknown_114 ZT0 ZT12
AT5G19660 ZT8 ZT16
AT5G19730 ZT8 ZT0
AT5G13110 ZT8 ZT0
AT5G13140 ZT8 ZT0
AT5G13100 ZT8 ZT0
AT5G13050 ZT4 ZT12
AT5G13090 ZT12 ZT0
AT5G13160 ZT8 ZT0
AT5G13180 ZT12 ZT4
AT5G20620 ZT0 ZT12
AT5G20660 ZT0 ZT8
AT5G20830 ZT0 ZT12
AT5G20790 ZT8 ZT0
AT5G20740 ZT20 ZT8
AT5G20720 ZT0 ZT16
AT5G20630 ZT4 ZT12
AT5G08415 ZT0 ZT8
AT5G08410 ZT0 ZT8
AT5G08330 ZT16 ZT8
AT5G10730 ZT0 ZT12
AT5G10695 ZT4 ZT8
AT5G10690 ZT16 ZT8
AT5G21070 ZT20 ZT8
AT5G21170 ZT12 ZT0
AT5G21160 ZT16 ZT0
AT5G08280 ZT20 ZT8
AT5G08350 ZT12 ZT0
AT5G08370 ZT0 ZT16
AT5G19440 ZT0 ZT12
AT5G19380 ZT4 ZT12
AT5G19450 ZT8 ZT0
AT5G19430 ZT8 ZT0
unknown_126 ZT12 ZT0
AT5G28840 ZT8 ZT0
AT5G08380 ZT4 ZT12
AT5G08400 ZT4 ZT12
AT5G08430 ZT8 ZT0
AT5G19330 ZT4 ZT0
AT5G19340 ZT12 ZT0
AT5G19350 ZT4 ZT16
AT5G20290 ZT0 ZT12
AT5G20220 ZT8 ZT4
AT5G20160 ZT20 ZT4
AT5G20150 ZT0 ZT12
AT5G20180 ZT16 ZT4
AT5G20130 ZT4 ZT0
AT5G20410 ZT8 ZT0
AT5G20280 ZT0 ZT12
AT5G20480 ZT0 ZT12
AT5G20580 ZT4 ZT20
AT5G20520 ZT4 ZT0
AT5G20500 ZT4 ZT16
AT5G19300 ZT20 ZT4
AT5G20270 ZT8 ZT0
AT5G28630 ZT12 ZT0
AT5G20120 ZT12 ZT0
AT5G20250 ZT4 ZT0
AT5G20350 ZT4 ZT0
AT5G20360 ZT8 ZT0
AT5G20380 ZT16 ZT4
AT5G19875 ZT8 ZT0
AT5G20960 ZT12 ZT16
AT5G19970 ZT12 ZT0
AT5G20110 ZT12 ZT0
AT5G19960 ZT4 ZT0
AT5G19950 ZT4 ZT0
AT5G20040 ZT20 ZT8
AT5G19940 ZT16 ZT4
AT5G19855 ZT8 ZT0
AT5G20935 ZT4 ZT12
unknown_145 ZT12 ZT4
AT5G32470 ZT12 ZT20
AT5G32450 ZT12 ZT0
AT5G32440 ZT4 ZT0
unknown_147 ZT0 ZT12
unknown_150 ZT8 ZT0
AT5G20980 ZT0 ZT4
AT5G20910 ZT0 ZT12
AT5G20890 ZT0 ZT8
AT5G20920 ZT20 ZT4
AT4G37000 ZT0 ZT8
AT4G36410 ZT4 ZT16
AT4G37090 ZT0 ZT12
AT4G36530 ZT0 ZT12
AT4G37240 ZT12 ZT20
AT4G37040 ZT4 ZT12
AT4G36970 ZT4 ZT16
AT4G36420 ZT0 ZT12
AT4G36730 ZT12 ZT0
AT4G36930 ZT0 ZT8
AT4G37180 ZT16 ZT4
AT4G36380 ZT20 ZT4
AT4G36920 ZT4 ZT16
AT4G36760 ZT4 ZT16
AT4G36910 ZT8 ZT20
AT4G36710 ZT8 ZT12
AT4G37280 ZT4 ZT0
AT4G36470 ZT4 ZT12
AT4G36790 ZT0 ZT16
AT4G37250 ZT4 ZT0
AT4G36680 ZT0 ZT8
AT4G36650 ZT8 ZT16
AT1G31830 ZT4 ZT12
AT1G31790 ZT4 ZT16
AT1G31860 ZT20 ZT4
AT1G31800 ZT0 ZT16
AT4G36500 ZT4 ZT16
AT4G36540 ZT12 ZT20
AT4G37270 ZT8 ZT20
AT4G37190 ZT16 ZT4
AT4G36940 ZT0 ZT8
AT4G36580 ZT0 ZT8
AT4G36860 ZT12 ZT0
AT1G31850 ZT4 ZT12
AT3G56710 ZT0 ZT12
AT3G56910 ZT8 ZT0
AT3G51830 ZT4 ZT12
AT3G51870 ZT0 ZT8
AT3G51840 ZT12 ZT0
AT3G51890 ZT0 ZT12
AT3G51800 ZT20 ZT4
AT3G51895 ZT12 ZT4
AT1G31920 ZT12 ZT0
AT3G56850 ZT8 ZT16
AT3G56680 ZT4 ZT0
AT1G16560 ZT4 ZT12
AT1G16590 ZT4 ZT0
AT3G44880 ZT0 ZT12
unknown_160 ZT0 ZT12
AT3G56720 ZT0 ZT8
AT3G56730 ZT4 ZT16
AT3G56760 ZT8 ZT16
AT3G56830 ZT4 ZT20
AT1G51940 ZT0 ZT16
AT1G51900 ZT12 ZT16
AT1G51950 ZT8 ZT0
AT1G58150 ZT4 ZT0
AT1G58180 ZT8 ZT0
AT1G58100 ZT8 ZT0
AT1G58110 ZT4 ZT20
AT1G57560 ZT8 ZT16
AT1G57590 ZT0 ZT8
AT1G57600 ZT0 ZT8
AT1G57680 ZT12 ZT0
AT5G17160 ZT0 ZT8
AT5G16880 ZT4 ZT0
AT5G17400 ZT8 ZT0
AT5G17450 ZT0 ZT8
AT5G17520 ZT0 ZT12
AT5G17600 ZT8 ZT0
AT5G17630 ZT0 ZT12
AT5G17640 ZT12 ZT16
AT5G16810 ZT16 ZT8
AT5G16830 ZT8 ZT0
AT5G16750 ZT20 ZT4
AT5G16930 ZT0 ZT12
AT5G16940 ZT12 ZT0
AT5G16970 ZT0 ZT12
AT5G16980 ZT0 ZT12
AT5G17010 ZT8 ZT12
AT5G17070 ZT0 ZT8
AT5G15980 ZT20 ZT8
AT5G16060 ZT4 ZT16
unknown_180 ZT20 ZT8
AT5G16000 ZT12 ZT0
AT5G16040 ZT0 ZT12
AT5G15910 ZT16 ZT4
AT5G16030 ZT12 ZT4
AT5G16050 ZT0 ZT4
unknown_181 ZT16 ZT0
AT5G16140 ZT0 ZT8
AT5G16200 ZT8 ZT0
AT5G16220 ZT12 ZT16
AT5G16230 ZT0 ZT12
AT5G16250 ZT4 ZT12
AT5G16110 ZT8 ZT0
AT5G16120 ZT12 ZT0
AT5G15700 ZT0 ZT4
AT5G15770 ZT0 ZT12
AT5G15790 ZT8 ZT0
AT5G15830 ZT8 ZT0
AT5G15850 ZT8 ZT0
AT5G15860 ZT8 ZT0
AT5G15840 ZT4 ZT20
AT5G15750 ZT20 ZT8
AT5G15640 ZT4 ZT16
AT5G15730 ZT4 ZT16
AT5G15520 ZT20 ZT12
AT5G15460 ZT12 ZT0
AT5G15600 ZT12 ZT0
AT5G15400 ZT0 ZT4
AT5G15090 ZT20 ZT4
AT5G14970 ZT0 ZT8
AT5G15050 ZT16 ZT8
AT5G14920 ZT4 ZT8
AT5G15440 ZT12 ZT4
AT5G15510 ZT4 ZT12
AT5G15550 ZT20 ZT8
AT5G15580 ZT12 ZT16
AT5G15581 ZT12 ZT0
AT5G14940 ZT0 ZT4
AT5G14960 ZT0 ZT8
AT1G31690 ZT0 ZT12
AT1G31660 ZT20 ZT8
AT1G31640 ZT20 ZT8
AT1G31770 ZT12 ZT16
AT5G14730 ZT8 ZT0
AT5G14880 ZT8 ZT0
AT5G14790 ZT0 ZT8
AT5G14800 ZT4 ZT20
AT5G14740 ZT8 ZT0
