p.value	enrichment	genes
290	NA	NA	AT3G56360
291	NA	NA	AT3G57040
292	NA	NA	AT3G57530
293	NA	NA	AT3G57800
294	NA	NA	AT3G58620
295	NA	NA	AT3G59950
296	NA	NA	AT3G61060
297	NA	NA	AT3G61250
298	NA	NA	AT3G61580
299	NA	NA	AT3G61630
300	NA	NA	AT3G62720
301	NA	NA	AT3G63010
302	NA	NA	AT4G00710
303	NA	NA	AT4G01720
304	NA	NA	AT4G02920
305	NA	NA	AT4G03110
306	NA	NA	AT4G08920
307	NA	NA	AT4G08930
308	NA	NA	AT4G08950
309	NA	NA	AT4G09890
310	NA	NA	AT4G10040
311	NA	NA	AT4G11330
312	NA	NA	AT4G12420
313	NA	NA	AT4G13940
314	NA	NA	AT4G14500
315	NA	NA	AT4G14540
316	NA	NA	AT4G15430
317	NA	NA	AT4G16780
318	NA	NA	AT4G16980
319	NA	NA	AT4G16990
320	NA	NA	AT4G17080
321	NA	NA	AT4G17245
322	NA	NA	AT4G17460
323	NA	NA	AT4G18710
324	NA	NA	AT4G19140
325	NA	NA	AT4G19200
326	NA	NA	AT4G22560
327	NA	NA	AT4G22890
328	NA	NA	AT4G24120
329	NA	NA	AT4G25050
330	NA	NA	AT4G25620
331	NA	NA	AT4G25960
332	NA	NA	AT4G26610
333	NA	NA	AT4G27260
334	NA	NA	AT4G27657
335	NA	NA	AT4G27940
336	NA	NA	AT4G30210
337	NA	NA	AT4G31820
338	NA	NA	AT4G32030
339	NA	NA	AT4G32260
340	NA	NA	AT4G32300
341	NA	NA	AT4G33666
342	NA	NA	AT4G34000
343	NA	NA	AT4G34150
344	NA	NA	AT4G34540
345	NA	NA	AT4G34730
346	NA	NA	AT4G34970
347	NA	NA	AT4G35470
348	NA	NA	AT4G37300
349	NA	NA	AT4G37550
350	NA	NA	AT4G37610
351	NA	NA	AT4G37760
352	NA	NA	AT4G38470
353	NA	NA	AT4G38860
354	NA	NA	AT4G38960
355	NA	NA	AT4G39400
356	NA	NA	AT4G39480
357	NA	NA	AT4G39640
358	NA	NA	AT5G01030
359	NA	NA	AT5G01090
360	NA	NA	AT5G01810
361	NA	NA	AT5G01820
362	NA	NA	AT5G02840
363	NA	NA	AT5G03130
364	NA	NA	AT5G03520
365	NA	NA	AT5G04040
366	NA	NA	AT5G05140
367	NA	NA	AT5G05440
368	NA	NA	AT5G05860
369	NA	NA	AT5G06530
370	NA	NA	AT5G06980
371	NA	NA	AT5G07300
372	NA	NA	AT5G10450
373	NA	NA	AT5G11090
374	NA	NA	AT5G11650
375	NA	NA	AT5G11690
376	NA	NA	AT5G12440
377	NA	NA	AT5G12850
378	NA	NA	AT5G13100
379	NA	NA	AT5G13760
380	NA	NA	AT5G14120
381	NA	NA	AT5G14730
382	NA	NA	AT5G14740
383	NA	NA	AT5G15210
384	NA	NA	AT5G15330
385	NA	NA	AT5G16120
386	NA	NA	AT5G18140
387	NA	NA	AT5G18630
388	NA	NA	AT5G18650
389	NA	NA	AT5G18670
390	NA	NA	AT5G19200
391	NA	NA	AT5G19730
392	NA	NA	AT5G20110
393	NA	NA	AT5G20250
394	NA	NA	AT5G20350
395	NA	NA	AT5G21170
396	NA	NA	AT5G22940
397	NA	NA	AT5G23340
398	NA	NA	AT5G23730
399	NA	NA	AT5G24430
400	NA	NA	AT5G25280
401	NA	NA	AT5G25460
402	NA	NA	AT5G27350
403	NA	NA	AT5G38560
404	NA	NA	AT5G39080
405	NA	NA	AT5G39660
406	NA	NA	AT5G41080
407	NA	NA	AT5G44190
408	NA	NA	AT5G45050
409	NA	NA	AT5G46410
410	NA	NA	AT5G46780
411	NA	NA	AT5G47390
412	NA	NA	AT5G49100
413	NA	NA	AT5G49170
414	NA	NA	AT5G49360
415	NA	NA	AT5G49480
416	NA	NA	AT5G49710
417	NA	NA	AT5G51460
418	NA	NA	AT5G51720
419	NA	NA	AT5G51910
420	NA	NA	AT5G52250
421	NA	NA	AT5G52900
422	NA	NA	AT5G53030
423	NA	NA	AT5G53970
424	NA	NA	AT5G54110
425	NA	NA	AT5G54130
426	NA	NA	AT5G54510
427	NA	NA	AT5G55910
428	NA	NA	AT5G56100
429	NA	NA	AT5G56750
430	NA	NA	AT5G56980
431	NA	NA	AT5G57360
432	NA	NA	AT5G57660
433	NA	NA	AT5G57940
434	NA	NA	AT5G58650
435	NA	NA	AT5G59400
436	NA	NA	AT5G59730
437	NA	NA	AT5G59830
438	NA	NA	AT5G59990
439	NA	NA	AT5G60680
440	NA	NA	AT5G60850
441	NA	NA	AT5G61670
442	NA	NA	AT5G62130
443	NA	NA	AT5G62730
444	NA	NA	AT5G62880
445	NA	NA	AT5G64410
446	NA	NA	AT5G64850
447	NA	NA	AT5G64940
448	NA	NA	AT5G65380
449	NA	NA	AT5G65700
450	NA	NA	AT5G66590
451	NA	NA	AT5G66770
