p.value	enrichment	genes
286	NA	NA	AT5G14740
287	NA	NA	AT5G14880
288	NA	NA	AT5G16120
289	NA	NA	AT5G18630
290	NA	NA	AT5G18650
291	NA	NA	AT5G19200
292	NA	NA	AT5G20110
293	NA	NA	AT5G20250
294	NA	NA	AT5G22940
295	NA	NA	AT5G23340
296	NA	NA	AT5G23730
297	NA	NA	AT5G24430
298	NA	NA	AT5G25460
299	NA	NA	AT5G27350
300	NA	NA	AT5G41080
301	NA	NA	AT5G44020
302	NA	NA	AT5G46410
303	NA	NA	AT5G49100
304	NA	NA	AT5G49170
305	NA	NA	AT5G49360
306	NA	NA	AT5G49480
307	NA	NA	AT5G51460
308	NA	NA	AT5G51670
309	NA	NA	AT5G51910
310	NA	NA	AT5G53160
311	NA	NA	AT5G54110
312	NA	NA	AT5G54310
313	NA	NA	AT5G54510
314	NA	NA	AT5G55910
315	NA	NA	AT5G56980
316	NA	NA	AT5G57660
317	NA	NA	AT5G58650
318	NA	NA	AT5G59730
319	NA	NA	AT5G60680
320	NA	NA	AT5G60850
321	NA	NA	AT5G61560
322	NA	NA	AT5G61670
323	NA	NA	AT5G62130
324	NA	NA	AT5G62920
325	NA	NA	AT5G63190
326	NA	NA	AT5G64410
327	NA	NA	AT5G65380
328	NA	NA	AT5G66770
